"XML Type","collection","series","subseries","box","folder","item","title","date","size","restricted?","handle","Accession Number","Handwritten or typed?","handwritten or typed controlled","Onionskin?","Column","filename","label","rank","creator","continent","country","region","settlement","umdm pid","umam pid","TEI"
"UMAM","Paul Porter papers","1","","3","4","10","Katherine Anne Porter to Paul Porter Jr., 1949-08-29","1949-08-29","2","","http://hdl.handle.net/1903.1/1531","82-18","typed","typed","","postcard","litmss-022307-0001","KAPtoPPJ-1949-08-29-p0001","1","Porter, Katherine Anne, 1890-1980","North America","United States of America","California","Palo Alto","","",""
"UMAM","Paul Porter papers","1","","3","4","10","Katherine Anne Porter to Paul Porter Jr., 1949-08-29","1949-08-29","","","http://hdl.handle.net/1903.1/1531","82-18","","","","","litmss-022307-0002","KAPtoPPJ-1949-08-29-p0002","2","Porter, Katherine Anne, 1890-1980","","","","","","",""
"UMDM","Paul Porter papers","1","","3","4","11","Katherine Anne Porter to Paul Porter Jr., 1949-08-29","1949-08-29","2","","http://hdl.handle.net/1903.1/1531","82-18","typed","typed","","postcard","litmss-022308-0001","KAPtoPPJ-1949-08-29-p0001","1","Porter, Katherine Anne, 1890-1980","North America","United States of America","California","Palo Alto","","",""
"UMAM","Paul Porter papers","1","","3","4","11","Katherine Anne Porter to Paul Porter Jr., 1949-08-29","1949-08-29","2","","http://hdl.handle.net/1903.1/1531","82-18","typed","typed","","postcard","litmss-022308-0001","KAPtoPPJ-1949-08-29-p0001","1","Porter, Katherine Anne, 1890-1980","North America","United States of America","California","Palo Alto","","",""
"UMAM","Paul Porter papers","1","","3","4","11","Katherine Anne Porter to Paul Porter Jr., 1949-08-29","1949-08-29","","","http://hdl.handle.net/1903.1/1531","82-18","","","","","litmss-022308-0002","KAPtoPPJ-1949-08-29-p0002","2","Porter, Katherine Anne, 1890-1980","","","","","","",""
"UMDM","Paul Porter papers","1","","3","4","12","Katherine Anne Porter to Paul Porter Jr., 1949-10-14","1949-10-14","2","","http://hdl.handle.net/1903.1/1531","82-18","typed, hw note","typed, handwritten notes","","postcard","litmss-022309-0001","KAPtoPPJ-1949-10-14-p0001","1","Porter, Katherine Anne, 1890-1980","North America","United States of America","New York","New York","","",""
"UMAM","Paul Porter papers","1","","3","4","12","Katherine Anne Porter to Paul Porter Jr., 1949-10-14","1949-10-14","2","","http://hdl.handle.net/1903.1/1531","82-18","typed, hw note","typed, handwritten notes","","postcard","litmss-022309-0001","KAPtoPPJ-1949-10-14-p0001","1","Porter, Katherine Anne, 1890-1980","North America","United States of America","New York","New York","","",""
"UMAM","Paul Porter papers","1","","3","4","12","Katherine Anne Porter to Paul Porter Jr., 1949-10-14","1949-10-14","","","http://hdl.handle.net/1903.1/1531","82-18","","","","","litmss-022309-0002","KAPtoPPJ-1949-10-14-p0002","2","Porter, Katherine Anne, 1890-1980","","","","","","",""
"UMDM","Paul Porter papers","1","","3","4","13","Katherine Anne Porter to Paul Porter Jr., 1950-05-05","1950-05-05","2","","http://hdl.handle.net/1903.1/1531","82-18","typed","typed","","postcard","litmss-022310-0001","KAPtoPPJ-1950-05-05-p0001","1","Porter, Katherine Anne, 1890-1980","North America","United States of America","New York","New York","","",""
"UMAM","Paul Porter papers","1","","3","4","13","Katherine Anne Porter to Paul Porter Jr., 1950-05-05","1950-05-05","2","","http://hdl.handle.net/1903.1/1531","82-18","typed","typed","","postcard","litmss-022310-0001","KAPtoPPJ-1950-05-05-p0001","1","Porter, Katherine Anne, 1890-1980","North America","United States of America","New York","New York","","",""
"UMAM","Paul Porter papers","1","","3","4","13","Katherine Anne Porter to Paul Porter Jr., 1950-05-05","1950-05-05","","","http://hdl.handle.net/1903.1/1531","82-18","","","","","litmss-022310-0002","KAPtoPPJ-1950-05-05-p0002","2","Porter, Katherine Anne, 1890-1980","","","","","","",""
"UMDM","Paul Porter papers","1","","3","4","14","Katherine Anne Porter to Paul Porter Jr., 1950-05-11","1950-05-11","2","","http://hdl.handle.net/1903.1/1531","82-18","typed","typed","","postcard","litmss-022311-0001","KAPtoPPJ-1950-05-11-p0001","1","Porter, Katherine Anne, 1890-1980","North America","United States of America","New York","New York","","",""
"UMAM","Paul Porter papers","1","","3","4","14","Katherine Anne Porter to Paul Porter Jr., 1950-05-11","1950-05-11","2","","http://hdl.handle.net/1903.1/1531","82-18","typed","typed","","postcard","litmss-022311-0001","KAPtoPPJ-1950-05-11-p0001","1","Porter, Katherine Anne, 1890-1980","North America","United States of America","New York","New York","","",""
"UMAM","Paul Porter papers","1","","3","4","14","Katherine Anne Porter to Paul Porter Jr., 1950-05-11","1950-05-11","","","http://hdl.handle.net/1903.1/1531","82-18","","","","","litmss-022311-0002","KAPtoPPJ-1950-05-11-p0002","2","Porter, Katherine Anne, 1890-1980","","","","","","",""
"UMDM","Paul Porter papers","1","","3","4","15","Katherine Anne Porter to Paul Porter Jr., 1950-12-21","1950-12-21","2","","http://hdl.handle.net/1903.1/1531","82-18","hw","handwritten","","picture postcard","litmss-022312-0001","KAPtoPPJ-1950-12-21-p0001","1","Porter, Katherine Anne, 1890-1980","North America","United States of America","New York","New York","","",""
"UMAM","Paul Porter papers","1","","3","4","15","Katherine Anne Porter to Paul Porter Jr., 1950-12-21","1950-12-21","2","","http://hdl.handle.net/1903.1/1531","82-18","hw","handwritten","","picture postcard","litmss-022312-0001","KAPtoPPJ-1950-12-21-p0001","1","Porter, Katherine Anne, 1890-1980","North America","United States of America","New York","New York","","",""
"UMAM","Paul Porter papers","1","","3","4","15","Katherine Anne Porter to Paul Porter Jr., 1950-12-21","1950-12-21","","","http://hdl.handle.net/1903.1/1531","82-18","","","","","litmss-022312-0002","KAPtoPPJ-1950-12-21-p0002","2","Porter, Katherine Anne, 1890-1980","","","","","","",""
"UMDM","Paul Porter papers","1","","3","4","16","Katherine Anne Porter to Paul Porter Jr., 1951-06-29","1951-06-29","2","","http://hdl.handle.net/1903.1/1531","82-18","typed, hw note","typed, handwritten notes","","postcard","litmss-022313-0001","KAPtoPPJ-1951-06-29-p0001","1","Porter, Katherine Anne, 1890-1980","North America","United States of America","New York","New York","","",""
"UMAM","Paul Porter papers","1","","3","4","16","Katherine Anne Porter to Paul Porter Jr., 1951-06-29","1951-06-29","2","","http://hdl.handle.net/1903.1/1531","82-18","typed, hw note","typed, handwritten notes","","postcard","litmss-022313-0001","KAPtoPPJ-1951-06-29-p0001","1","Porter, Katherine Anne, 1890-1980","North America","United States of America","New York","New York","","",""
"UMAM","Paul Porter papers","1","","3","4","16","Katherine Anne Porter to Paul Porter Jr., 1951-06-29","1951-06-29","","","http://hdl.handle.net/1903.1/1531","82-18","","","","","litmss-022313-0002","KAPtoPPJ-1951-06-29-p0002","2","Porter, Katherine Anne, 1890-1980","","","","","","",""
"UMDM","Paul Porter papers","1","","3","4","17","Katherine Anne Porter to Paul Porter Jr., 1951-07-10","1951-07-10","2","","http://hdl.handle.net/1903.1/1531","82-18","typed","typed","","postcard","litmss-022314-0001","KAPtoPPJ-1951-07-10-p0001","1","Porter, Katherine Anne, 1890-1980","North America","United States of America","New York","New York","","",""
"UMAM","Paul Porter papers","1","","3","4","17","Katherine Anne Porter to Paul Porter Jr., 1951-07-10","1951-07-10","2","","http://hdl.handle.net/1903.1/1531","82-18","typed","typed","","postcard","litmss-022314-0001","KAPtoPPJ-1951-07-10-p0001","1","Porter, Katherine Anne, 1890-1980","North America","United States of America","New York","New York","","",""
"UMAM","Paul Porter papers","1","","3","4","17","Katherine Anne Porter to Paul Porter Jr., 1951-07-10","1951-07-10","","","http://hdl.handle.net/1903.1/1531","82-18","","","","","litmss-022314-0002","KAPtoPPJ-1951-07-10-p0002","2","Porter, Katherine Anne, 1890-1980","","","","","","",""
"UMDM","Paul Porter papers","1","","3","4","18","Katherine Anne Porter to Paul Porter Jr., 1952-06-13","1952-06-13","2","","http://hdl.handle.net/1903.1/1531","82-18","hw","handwritten","","picture postcard","litmss-022315-0001","KAPtoPPJ-1952-06-13-p0001","1","Porter, Katherine Anne, 1890-1980","Europe","France","Brittany","Pont-Aven","","",""
"UMAM","Paul Porter papers","1","","3","4","18","Katherine Anne Porter to Paul Porter Jr., 1952-06-13","1952-06-13","2","","http://hdl.handle.net/1903.1/1531","82-18","hw","handwritten","","picture postcard","litmss-022315-0001","KAPtoPPJ-1952-06-13-p0001","1","Porter, Katherine Anne, 1890-1980","Europe","France","Brittany","Pont-Aven","","",""
"UMAM","Paul Porter papers","1","","3","4","18","Katherine Anne Porter to Paul Porter Jr., 1952-06-13","1952-06-13","","","http://hdl.handle.net/1903.1/1531","82-18","","","","","litmss-022315-0002","KAPtoPPJ-1952-06-13-p0002","2","Porter, Katherine Anne, 1890-1980","","","","","","",""
"UMDM","Paul Porter papers","1","","3","4","19","Katherine Anne Porter to Paul Porter Jr., 1953-09-16","1953-09-16","2","","http://hdl.handle.net/1903.1/1531","82-18","hw","handwritten","","picture postcard","litmss-022316-0001","KAPtoPPJ-1953-09-16-p0001","1","Porter, Katherine Anne, 1890-1980","North America","United States of America","Michigan","Ann Arbor","","",""
"UMAM","Paul Porter papers","1","","3","4","19","Katherine Anne Porter to Paul Porter Jr., 1953-09-16","1953-09-16","2","","http://hdl.handle.net/1903.1/1531","82-18","hw","handwritten","","picture postcard","litmss-022316-0001","KAPtoPPJ-1953-09-16-p0001","1","Porter, Katherine Anne, 1890-1980","North America","United States of America","Michigan","Ann Arbor","","",""
"UMAM","Paul Porter papers","1","","3","4","19","Katherine Anne Porter to Paul Porter Jr., 1953-09-16","1953-09-16","","","http://hdl.handle.net/1903.1/1531","82-18","","","","","litmss-022316-0002","KAPtoPPJ-1953-09-16-p0002","2","Porter, Katherine Anne, 1890-1980","","","","","","",""
"UMDM","Paul Porter papers","1","","3","4","20","Katherine Anne Porter to Paul Porter Jr., 1953-09-16","1953-09-16","2","","http://hdl.handle.net/1903.1/1531","82-18","hw","handwritten","","picture postcard ""This is where I shall go on misleading the young into thinking serious literature is fun!""","litmss-022317-0001","KAPtoPPJ-1953-09-16-p0001","1","Porter, Katherine Anne, 1890-1980","North America","United States of America","Michigan","Ann Arbor","","",""
"UMAM","Paul Porter papers","1","","3","4","20","Katherine Anne Porter to Paul Porter Jr., 1953-09-16","1953-09-16","2","","http://hdl.handle.net/1903.1/1531","82-18","hw","handwritten","","picture postcard ""This is where I shall go on misleading the young into thinking serious literature is fun!""","litmss-022317-0001","KAPtoPPJ-1953-09-16-p0001","1","Porter, Katherine Anne, 1890-1980","North America","United States of America","Michigan","Ann Arbor","","",""
"UMAM","Paul Porter papers","1","","3","4","20","Katherine Anne Porter to Paul Porter Jr., 1953-09-16","1953-09-16","","","http://hdl.handle.net/1903.1/1531","82-18","","","","","litmss-022317-0002","KAPtoPPJ-1953-09-16-p0002","2","Porter, Katherine Anne, 1890-1980","","","","","","",""
"UMDM","Paul Porter papers","1","","3","4","21","Katherine Anne Porter to Paul Porter Jr., 1953-09-26","1953-09-26","2","","http://hdl.handle.net/1903.1/1531","82-18","typed","typed","","postcard","litmss-022318-0001","KAPtoPPJ-1953-09-26-p0001","1","Porter, Katherine Anne, 1890-1980","North America","United States of America","Michigan","Ann Arbor","","",""
"UMAM","Paul Porter papers","1","","3","4","21","Katherine Anne Porter to Paul Porter Jr., 1953-09-26","1953-09-26","2","","http://hdl.handle.net/1903.1/1531","82-18","typed","typed","","postcard","litmss-022318-0001","KAPtoPPJ-1953-09-26-p0001","1","Porter, Katherine Anne, 1890-1980","North America","United States of America","Michigan","Ann Arbor","","",""
"UMAM","Paul Porter papers","1","","3","4","21","Katherine Anne Porter to Paul Porter Jr., 1953-09-26","1953-09-26","","","http://hdl.handle.net/1903.1/1531","82-18","","","","","litmss-022318-0002","KAPtoPPJ-1953-09-26-p0002","2","Porter, Katherine Anne, 1890-1980","","","","","","",""
"UMDM","Paul Porter papers","1","","3","4","22","Katherine Anne Porter to Paul Porter Jr., 1954-09-24","1954-09-24","2","","http://hdl.handle.net/1903.1/1531","82-18","hw","handwritten","","picture postcard, dated ""24th""","litmss-022435-0001","KAPtoPPJ-1954-09-24-p0001","1","Porter, Katherine Anne, 1890-1980","Europe","Belgium","Wallonia","Liège","","",""
"UMAM","Paul Porter papers","1","","3","4","22","Katherine Anne Porter to Paul Porter Jr., 1954-09-24","1954-09-24","2","","http://hdl.handle.net/1903.1/1531","82-18","hw","handwritten","","picture postcard, dated ""24th""","litmss-022435-0001","KAPtoPPJ-1954-09-24-p0001","1","Porter, Katherine Anne, 1890-1980","Europe","Belgium","Wallonia","Liège","","",""
"UMAM","Paul Porter papers","1","","3","4","22","Katherine Anne Porter to Paul Porter Jr., 1954-09-24","1954-09-24","","","http://hdl.handle.net/1903.1/1531","82-18","","","","","litmss-022435-0002","KAPtoPPJ-1954-09-24-p0002","2","Porter, Katherine Anne, 1890-1980","","","","","","",""
